"Generate a report for an incident at 2214 hours on 10/12/2025 at 1450 Maple Ave, Apt 2. Quote statements verbatim: victim stated, ""I said no,"" and suspect stated, ""We misunderstood each other."" Document observable injuries and items collected: light bruising to right upper arm, torn blouse seam, necklace found on floor.",,
"Write a police report for a call received at 0118 hours from 600 Pine St., Apartment 3B. Record that the subject walked toward the stairwell upon officer arrival and was detained without incident. Note precise times of dispatch (0120), arrival (0126), and clearance (0204), and photograph redness on left forearm.",,
"Generate a report for an incident in Parking Lot D, North Campus, at 2300 hours, clear weather, lot lights operational. Quote the complainant: ""He pinned my arms and I said no,"" and the respondent: ""Nothing happened."" Document EMS observations of abrasions to both knees and the presence of CCTV camera #4 facing the scene.",,Full report
"Write a police report for a call at 2057 hours at 214 Birch Ln., Unit 5. Include the victim’s direct statement: ""I did not consent,"" and the suspect’s statement: ""I thought it was okay."" Describe the scene: bed linens disheveled, one wine glass on nightstand, no visible weapons.",,
"Generate a report for a walk-in complaint at 1322 hours at the 7th Precinct front desk, 312 Main St. Quote exact words: ""He wouldn't stop"" and ""We were just talking."" Record that the subject left the location before officers arrived and that photos were taken of a torn button and faint wrist bruising.",,
"Write a police report concerning an incident reported at 0315 hours at 98 Harbor Rd., rear entrance. Complainant stated, ""I told him to stop,"" and respondent stated, ""We were both there."" Note lighting conditions (dim porch light), door unlocked, and document small contusion on left shoulder.",,
"Generate a report for an incident at 1940 hours at 1200 Cedar Ave, Apt 1A. Victim stated, ""I said no more than once,"" and suspect stated, ""I didn't hear that."" Record timeline: call received 1937, arrival 1944, EMS on scene 1952; photograph red marks on upper arm.",,
"Write a police report for a call from 4400 Lakeview Dr., Building C, at 2229 hours. Quote: ""He closed the door and I told him to stop,"" and ""We were just making out."" Document that the hallway camera faces the unit door and collect a broken earring backing from the floor.",,
"Generate a report from an incident at 0845 hours at 51 Orchard St., third floor hallway. Complainant said, ""I pushed him away and said no,"" while respondent said, ""It was consensual."" Note scuff marks on hallway wall at shoulder height and no visible injuries to complainant.",,
"Write a police report for an incident reported at 0122 hours at 277 Elm Ct., Apt 4D, foggy conditions. Victim stated, ""I did not agree to this,"" suspect stated, ""We were both drinking earlier."" Record odor of alcohol on both parties and photograph a torn strap recovered near the sofa.",,
"Generate a report for a call at 1710 hours at 930 Ridge Rd., Unit 12, with precise entry and exit times. Quote directly: ""I told him to stop"" and ""She never said no."" Document mild swelling on right wrist and that officers collected bedding for evidence.",,
"Write a police report for an incident outside 22 Market Sq. at 0025 hours, streetlights on. Victim stated, ""I said no and moved away,"" suspect stated, ""We were both into it."" Note surveillance camera on the corner store and scrape on victim’s left knee.",,
"Generate a report for a complaint received at 1413 hours at the campus health center, 15 College Dr. Quote: ""He held my arms down"" and ""I didn’t do that."" Record nurse-documented redness to upper arms and preserve clothing in separate paper bags.",,
"Write a police report for an incident occurring at 2348 hours at 700 Riverwalk Blvd., elevator lobby. Complainant stated, ""I told him to stop,"" respondent stated, ""We kissed."" Document elevator camera #2 coverage and note no visible injuries at time of report.",,
"Generate a report at 0620 hours for 81 Aspen Pl., back bedroom. Victim said, ""I said no three times,"" suspect said, ""I thought she was okay with it."" Record time of EMS arrival (0631) and photograph light finger-shaped redness on left bicep.",,
"Write a police report for a call from 19 King St., Apt 6, at 2136 hours. Quote verbatim: ""Stop, I don't want this"" and ""It was just intimacy."" Note room lighting (lamp on), bed sheets disturbed, and a broken phone case on the floor.",,
"Generate a report for an incident in Lot B near 3300 North Ave. at 2210 hours, clear skies. Victim stated, ""I pulled away and said no,"" suspect stated, ""We were flirting."" Document dashcam from patrol unit and small abrasion on victim’s right elbow.",,
"Write a police report for a lobby complaint at 1200 hours at 400 Civic Center Dr. Complainant said, ""I told him to stop,"" respondent said, ""We had an agreement."" Record exact times of interview start (1208) and end (1241), and collect text message screenshots provided by complainant.",,
"Generate a report for a call at 0159 hours at 909 Park Ave., Stairwell B. Quote: ""I said leave me alone"" and ""I didn’t hear that."" Note emergency light level, stairwell camera coverage, and photograph red mark on neck.",,
"Write a police report for an incident at 1935 hours at 14 Meadow Ln., garage area. Victim stated, ""No, stop,"" suspect stated, ""It wasn't like that."" Document oil stains on floor, one broken bracelet clasp, and no visible weapon.",,
"Generate a report at 1822 hours from 250 Summit Rd., Apt 9C. Complainant said, ""I told him to stop and he didn't,"" respondent said, ""We were together."" Note window closed, blinds drawn, and record slight swelling on right forearm.",,
"Write a police report for an incident reported at 0107 hours near 5th and Pine, alleyway. Quote: ""I said no"" and ""I thought it was fine."" Document alley light out at midpoint and small scrape on complainant’s palm.",,
"Generate a report for a call from 330 Westbrook Dr., Apt 2F at 2241 hours. Victim stated, ""I said stop,"" suspect stated, ""She didn’t object."" Record that the subject walked to the kitchen when officers entered and that photos were taken of a torn button on the floor.",,
"Write a police report for a walk-in at 1045 hours at 22nd Precinct. Quote: ""He held me down"" and ""I didn’t."" Document nurse exam referral time (1102) and note small circular bruising on upper arm.",,
"Generate a report for an incident outside 120 Harbor View at 0130 hours, misting rain. Complainant said, ""I tried to push him away and said no,"" respondent said, ""We were close."" Record that the area camera on pole #7 faces east and photo a grass stain on complainant’s jeans.",,
"Write a police report for a call at 2109 hours at 501 Greenway, Unit 14. Quote exact words: ""Stop, I do not consent,"" and ""We were intimate."" Note living room lamp on, sofa cushions displaced, and faint redness on right wrist.",,
"Generate a report for an incident at 2337 hours in Dorm A, Room 417, 9 Campus Loop. Victim stated, ""I said no,"" suspect stated, ""I didn’t realize."" Document RA notification time (2345), keycard logs requested, and photo of torn seam on pillowcase.",,
"Write a police report for a complaint at 0735 hours at 75 Oak Terrace, kitchen. Complainant said, ""I told him to stop,"" respondent said, ""We were together."" Document coffee mug broken on floor and minor abrasion on left ankle.",,
"Generate a report for an incident near 12 Brook St. at 0039 hours, streetlight functioning. Victim said, ""No,"" suspect said, ""We were fine."" Record camera on bus stop shelter and scrape on right knee consistent with contact on pavement.",,
"Write a police report for a call at 2315 hours at 300 Laurel Way, Apt 7B. Quote verbatim: ""Leave me alone,"" and ""She didn’t say that."" Note bedroom window closed, AC on, and photo slight redness on upper chest.",,
"Generate a report for a complaint made at 1651 hours at 10 Civic Plaza, Room 202. Complainant said, ""I told him to stop,"" respondent said, ""We kissed."" Record that the subject exited the room upon officer arrival and document a broken chain on the floor.",,
"Write a police report for an incident reported at 0204 hours behind 811 Market St., loading dock. Victim stated, ""I said no and moved away,"" suspect stated, ""I thought it was okay."" Note camera mounted above dock door and a torn pocket on complainant’s jacket.",,
"Generate a report for a call at 2146 hours at 16 Willow Ln., master bedroom. Quote: ""I said no,"" and ""We had been talking."" Document pillow on floor, sheets displaced, and faint finger-mark redness on upper arm.",,
"Write a police report for a walk-in at 0940 hours at Campus Security, 100 Quad Dr. Complainant said, ""He wouldn't stop,"" respondent later stated by phone, ""I didn’t do anything."" Record time complaint occurred (approx. 0130 hours per complainant) and photo slight bruising to left thigh.",,
"Generate a report for an incident at 2011 hours at 9 Lake Rd., guest room. Victim stated, ""I said no,"" suspect stated, ""We were together in the room."" Document lamp knocked over and small bruise on right forearm.",,
"Write a police report for a call at 0127 hours near 300 Transit Ave., bus depot bench. Quote exactly: ""Stop,"" and ""It was mutual."" Note bench location under camera #12 and scrape on left elbow.",,
"Generate a report for an incident at 2219 hours at 1800 Birchwood Ct., Apt 3E. Complainant said, ""I told him to stop,"" respondent said, ""She never said no."" Record door chain damaged and faint redness around wrist.",,
"Write a police report for a complaint at 1512 hours at 420 Library Ln., Study Room B. Victim stated, ""I said no,"" suspect stated, ""We were studying together."" Document room occupancy log and minor redness on upper arm.",,
"Generate a report for an incident at 2330 hours at 55 Marina Blvd., Pier 2 shelter. Complainant said, ""I said stop,"" respondent said, ""We flirted."" Note wind at 8 mph, overhead light illuminated, and photograph scuffed shoe.",,
"Write a police report for a call at 1945 hours at 101 Highland Rd., living room area. Quote: ""I did not consent,"" and ""It was a misunderstanding."" Document TV stand displaced and small bruise on left wrist.",,
"Generate a report for an incident at 0101 hours at 333 Glen Ave., stairwell landing. Victim said, ""No,"" suspect said, ""We were close."" Record camera facing landing and scrape on right shin.",,
"Write a police report for a complaint at 0830 hours at 12 Health Way, clinic triage room. Complainant stated, ""I told him to stop,"" respondent stated by phone, ""We were fine."" Note nurse documented petechial redness on bicep and collected clothing per protocol.",,
"Generate a report for an incident at 2205 hours at 700 Ash St., Apt 1. Quote direct statements: ""Stop, I don't want this,"" and ""She didn't say that."" Document lamp cord unplugged and small tear on shirt sleeve.",,
"Write a police report for a call at 0123 hours near 44 Center St., alley gate. Victim stated, ""I said no,"" suspect stated, ""It was consensual."" Record gate partially open, ground damp, and a scrape on left palm.",,
"Generate a report for an incident at 2133 hours at 200 Ridgecrest, Bedroom 2. Complainant said, ""I told him to stop more than once,"" respondent said, ""I didn’t hear."" Note clock on nightstand at 2135 and faint redness on upper arm.",,
"Write a police report for a walk-in at 1015 hours at 3rd Precinct. Quote: ""He held my wrist,"" and ""No I didn’t."" Document photographed faint wrist mark and referral to SANE at 1032 hours.",,
"Generate a report for an incident at 0050 hours in Lot C, 500 Stadium Dr. Victim stated, ""I said no,"" suspect stated, ""We were just talking."" Record that the subject walked away to a black sedan and that camera #6 overlooks the lot.",,
"Write a police report for a call at 2321 hours at 42 Ivy Ct., rear patio. Complainant said, ""Stop,"" respondent said, ""She was fine."" Note patio light on, chair knocked over, and slight bruise on right upper arm.",,
"Generate a report for an incident at 1715 hours at 800 Plaza Dr., Office 4B. Victim stated, ""I did not consent,"" suspect stated, ""We were colleagues."" Document door lock intact, desk items undisturbed, and no visible injury.",,
"Write a police report for a call at 2358 hours at 18 Maple Row, bedroom. Quote: ""I told him to stop,"" and ""She agreed."" Record photo of pillow on floor and slight redness on left wrist.",,
"Generate a report for an incident at 2019 hours at 909 Sunrise Blvd., laundry room. Complainant said, ""I said no,"" respondent said, ""We were together there."" Document washer lid open, single sock torn, and scrape on right knee.",,
"Write a police report for a walk-in at 1340 hours at University PD, 1 Campus Dr. Quote: ""He forced my hands down,"" and ""I didn’t do that."" Note triage nurse recorded redness on both arms and clothing secured in paper bags.",,
"Generate a report for an incident at 0152 hours at 33 Harbor Ct., hallway outside Apt 2D. Victim said, ""No,"" suspect said, ""I thought it was okay."" Record hall camera live, lights on, and scuff on wall.",,
"Write a police report for a call at 2101 hours at 760 Oak Ave., living room couch. Complainant stated, ""I told him to stop,"" respondent stated, ""We were dating."" Document TV remote on floor, cushion displaced, and faint bruising to upper arm.",,
"Generate a report for an incident at 0007 hours at 500 Kingman Rd., detached garage. Victim said, ""I said no,"" suspect said, ""We were fine."" Note overhead light off, flashlight used, and small scrape on right elbow.",,
"Write a police report for a call at 2240 hours at 14 Pine Ridge, kitchen. Quote: ""Stop,"" and ""It was just a misunderstanding."" Document broken glass on floor and photograph small cut on fingertip.",,
"Generate a report for an incident at 1903 hours at 320 Brookview, Apt 5A. Complainant said, ""I said no and moved away,"" respondent said, ""She didn’t say that."" Record arrival time 1909, departure 1942, and faint wrist redness.",,
"Write a police report for a complaint at 0745 hours at 77 Civic Way, conference room. Victim stated, ""I did not consent,"" suspect stated, ""We were in a meeting."" Document chair slightly displaced and no visible injuries.",,
